,PROP_TYPE,ADDRESS,CITY,ZIP,PRICE,LOCATION,SQFT,YR_BUILT,MLS#,LATITUDE,LONGITUDE,PARK_DIST,HOSPITAL_D,RAIL_DIST,BUS_COUNTS,FnB_COUNTS
3932,Single Family Residential,3310 Malcolm Ave,Los Angeles,90034,2495000,Palms - Mar Vista,1944.0,1970.0,24-356623,34.0267313,-118.4158253,4496,2154.96179134959,1334,0.0,21.0
3934,Single Family Residential,17807 Valley Vista Blvd,Encino,91316,2495000,Encino,3025.0,1951.0,24-358511,34.158201,-118.5203792,3469,2087.83820267244,16042,10.0,20.0
3937,Multi-Family,1155 S Tremaine Ave,Los Angeles,90019,2400000,Hancock Park-Wilshire,3862.0,1924.0,24-354009,34.054044,-118.338837,2683,2420.03736025021,3502,27.0,9.0
3938,Single Family Residential,8048 Kenyon Ave,Los Angeles,90045,2275000,C29 - Westchester,2153.0,1946.0,SB24028752,33.9654576,-118.4099436,3462,3961.0784536708,3985,3.0,1.0
3941,Single Family Residential,6591 Kentwood Bluffs Dr,Los Angeles,90045,2499999,Westchester,3039.0,1993.0,24-358427,33.979858,-118.4010564,3438,2856.92571563353,3813,12.0,7.0
3943,Single Family Residential,2780 Hutton Dr,Beverly Hills,90210,2300000,Beverly Hills Post Office,2572.0,1950.0,24-358377,34.1218319,-118.4273773,1929,5726.55415311247,7603,0.0,0.0
3944,Single Family Residential,4209 Berryman Ave,Culver City,90066,2125000,Culver City,1910.0,1940.0,24-354719,34.0021996,-118.4175653,2893,3635.9853301025905,3932,0.0,6.0
3947,Single Family Residential,2491 Ivan Hill Ter,Los Angeles,90039,2200000,Silver Lake - Echo Park,2134.0,1931.0,24-356473,34.1034986,-118.2597201,1189,3312.00402825083,3650,21.0,9.0
3948,Vacant Land,1322 Benedict Canyon Dr,Beverly Hills,90210,2349000,Beverly Hills Post Office,3223.827432733158,1962.9808163265307,24-358220,34.0951221,-118.4295905,2805,4280.54356952041,7855,0.0,0.0
3949,Single Family Residential,959 N Benwood Ln,Bel Air,90077,2195000,Bel Air - Holmby Hills,3343.0,2003.0,24-357529,34.101486,-118.457199,2254,4863.41992426762,9240,0.0,0.0
3950,Single Family Residential,5431 S Chariton Ave,Los Angeles,90056,2350000,Ladera Heights,5821.0,1975.0,24-358179,33.9921908,-118.3702511,4343,962.998083875792,3956,13.0,0.0
3953,Townhouse,27 Ironsides St Unit D,Marina Del Rey,90292,2195000,Marina Del Rey,1582.0,1973.0,24-356745,33.97497,-118.4621626,1411,2697.90423841365,6169,12.0,12.0
3954,Single Family Residential,14636 Round Valley Dr,Sherman Oaks,91403,2299000,Sherman Oaks,2905.0,1935.0,24-357593,34.1455694,-118.4520223,3514,1999.03639673498,8923,14.0,3.0
3956,Single Family Residential,9268 Monte Mar Dr,Los Angeles,90035,2195000,C09 - Beverlywood Vicinity,1743.0,1950.0,SR24030086,34.0488085,-118.3916865,1779,2340.57104801439,2825,9.0,9.0
