SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE,PARK_DIST,HOSPITAL_D,RAIL_DIST,ESCHOOL,HSCHOOL,BUS_COUNTS,FnB_COUNTS
MLS Listing,,Townhouse,9146 Lemona Ave #112,North Hills,CA,91343,725000,3.00000000000,3.00000000000,NOH - North Hills,1878.00000000000,75664.00000000000,1990.00000000000,59,386.00000000000,275.0,Active,https://www.redfin.com/CA/North-Hills/9146-Lemona-Ave-91343/unit-112/home/5673309,CRMLS,SR23213301,N,Y,34.23664330000,-118.45789730000,2951,1325.356034739800000,12868,LOS ANGELES USD,LOS ANGELES USD,21.000000000000000,9.000000000000000
MLS Listing,,Multi-Family (2-4 Unit),132 E 60th St,Los Angeles,CA,90003,685000,3.00000000000,2.00000000000,699 - Not Defined,1532.00000000000,5129.00000000000,1911.00000000000,60,447.00000000000,,Active,https://www.redfin.com/CA/Los-Angeles/132-E-60th-St-90003/home/7273594,CRMLS,RS23227910,N,Y,33.98494230000,-118.27274100000,2290,5444.899065368080000,3306,LOS ANGELES USD,LOS ANGELES USD,41.000000000000000,3.000000000000000
MLS Listing,,Condo/Co-op,4215 Glencoe Ave #309,Marina Del Rey,CA,90292,650000,1.00000000000,1.00000000000,Marina Del Rey,715.00000000000,79615.00000000000,2008.00000000000,61,909.00000000000,446.0,Active,https://www.redfin.com/CA/Marina-del-Rey/4215-Glencoe-Ave-90292/unit-309/home/26849354,TheMLS,23-340839,N,Y,33.98798510000,-118.44194890000,1275,855.498393518563000,5996,LOS ANGELES USD,LOS ANGELES USD,10.000000000000000,20.000000000000000
MLS Listing,,Condo/Co-op,7250 Franklin Ave #1107,Los Angeles,CA,90046,685000,1.00000000000,1.50000000000,Sunset Strip - Hollywood Hills West,1260.00000000000,53531.00000000000,1964.00000000000,62,544.00000000000,1049.0,Active,https://www.redfin.com/CA/Los-Angeles/7250-Franklin-Ave-90046/unit-1107/home/7114381,TheMLS,23-340661,N,Y,34.10321640000,-118.34746590000,3191,2646.352270474950000,1017,LOS ANGELES USD,LOS ANGELES USD,27.000000000000000,49.000000000000000
MLS Listing,,Single Family Residential,1208 S Arizona Ave,East Los Angeles,CA,90022,669000,2.00000000000,1.00000000000,ELA - East Los Angeles,780.00000000000,5967.00000000000,1923.00000000000,62,858.00000000000,,Active,https://www.redfin.com/CA/Los-Angeles/1208-S-Arizona-Ave-90022/home/6965660,CRMLS,GD23227572,N,Y,34.01805630000,-118.16796850000,6072,1482.937587655720000,2050,LOS ANGELES USD,LOS ANGELES USD,33.000000000000000,0.000000000000000
MLS Listing,,Condo/Co-op,2929 Waverly Dr #304,Los Angeles,CA,90039,718000,2.00000000000,2.00000000000,671 - Silver Lake,1104.00000000000,43552.00000000000,1973.00000000000,62,650.00000000000,460.0,Active,https://www.redfin.com/CA/Los-Angeles/2929-Waverly-Dr-90039/unit-304/home/7063815,CRMLS,OC23216968,N,Y,34.11034770000,-118.26635920000,1512,2580.020127749970000,3298,LOS ANGELES USD,LOS ANGELES USD,19.000000000000000,18.000000000000000
MLS Listing,,Single Family Residential,824 N Sydney Dr,Los Angeles,CA,90022,670000,2.00000000000,2.00000000000,699 - Not Defined,816.00000000000,3938.00000000000,1924.00000000000,65,821.00000000000,,Active,https://www.redfin.com/CA/Los-Angeles/824-N-Sydney-Dr-90022/home/6955127,CRMLS,CV23226048,N,Y,34.04588540000,-118.17241350000,4426,1324.509573774980000,1753,LOS ANGELES USD,LOS ANGELES USD,21.000000000000000,0.000000000000000
MLS Listing,,Multi-Family (2-4 Unit),6305 S Denker Ave,Los Angeles,CA,90047,729000,4.00000000000,2.00000000000,C34 - Los Angeles Southwest,1500.00000000000,4837.00000000000,1923.00000000000,65,486.00000000000,,Active,https://www.redfin.com/CA/Los-Angeles/6305-S-Denker-Ave-90047/home/7271116,CRMLS,OC23226199,N,Y,33.98198940000,-118.30478650000,1724,6400.159906653590000,3014,LOS ANGELES USD,LOS ANGELES USD,35.000000000000000,3.000000000000000
MLS Listing,,Vacant Land,15325 Nordhoff St,Van Nuys,CA,91402,649000,0.00000000000,0.00000000000,VN - Van Nuys,0.00000000000,5482.00000000000,0.00000000000,65,0.00000000000,,Active,https://www.redfin.com/CA/Van-Nuys/15325-Nordhoff-ST-91402/home/188931211,CRMLS,SR23226721,N,Y,34.23582100000,-118.46634700000,3110,1077.005948629660000,13470,LOS ANGELES USD,LOS ANGELES USD,20.000000000000000,5.000000000000000
MLS Listing,,Single Family Residential,4251 Hooper Ave,Los Angeles,CA,90011,729900,5.00000000000,2.00000000000,C36 - Metropolitan Southwest,1967.00000000000,3838.00000000000,1913.00000000000,66,371.00000000000,,Active,https://www.redfin.com/CA/Los-Angeles/4251-Hooper-Ave-90011/home/6926839,CRMLS,IV23225957,N,Y,34.00650550000,-118.25241100000,413,3708.889038332550000,1122,LOS ANGELES USD,LOS ANGELES USD,44.000000000000000,4.000000000000000
