PRICE,SQFT,house.age,PROP_TYPE,PARK_DIST,HOSPITAL_D,RAIL_DIST,BUS_COUNTS,FnB_COUNTS,neighborhood,population.density,median.age,dominant.race,city
375000,2025.422782,103,Multi-Family,426,1796,2611,37,1,Humboldt Park,23679,34.2,Hispanic or Latino,Chicago
545000,2025.422782,100,Multi-Family,122,1691,2375,47,1,Humboldt Park,23679,34.2,Hispanic or Latino,Chicago
515000,2025.422782,68.46433862,Multi-Family,372,1421,2122,47,3,Humboldt Park,23679,34.2,Hispanic or Latino,Chicago
1175000,2025.422782,97,Multi-Family,403,1850,2659,36,1,Humboldt Park,23679,34.2,Hispanic or Latino,Chicago
775000,2500,3,Condo/Co-op,252,509,2315,42,24,Humboldt Park,23679,34.2,Hispanic or Latino,Chicago
227500,2025.422782,110,Multi-Family,119,1936,2540,39,1,Humboldt Park,23679,34.2,Hispanic or Latino,Chicago
355000,1600,111,Single Family Residential,268,1997,2054,26,0,Humboldt Park,23679,34.2,Hispanic or Latino,Chicago
389900,1650,110,Single Family Residential,132,1789,2381,44,1,Humboldt Park,23679,34.2,Hispanic or Latino,Chicago
440000,2850,108,Single Family Residential,326,1458,1834,35,0,Humboldt Park,23679,34.2,Hispanic or Latino,Chicago
585000,2600,0,Single Family Residential,255,1939,2492,39,1,Humboldt Park,23679,34.2,Hispanic or Latino,Chicago
309900,1350,130,Single Family Residential,100,3489,3738,46,3,Humboldt Park,23679,34.2,Hispanic or Latino,Chicago
405000,2025.422782,127,Multi-Family,131,3348,3876,41,2,Humboldt Park,23679,34.2,Hispanic or Latino,Chicago
649000,2025.422782,0,Single Family Residential,194,3334,3782,45,2,Humboldt Park,23679,34.2,Hispanic or Latino,Chicago
379900,2025.422782,97,Multi-Family,442,3232,3510,31,1,Humboldt Park,23679,34.2,Hispanic or Latino,Chicago
149900,1428,138,Single Family Residential,169,265,673,23,5,Humboldt Park,23679,34.2,Hispanic or Latino,Chicago
217900,2025.422782,123,Multi-Family,371,646,1381,27,4,Humboldt Park,23679,34.2,Hispanic or Latino,Chicago
200000,2025.422782,120,Multi-Family,458,427,946,24,7,Humboldt Park,23679,34.2,Hispanic or Latino,Chicago
295000,2025.422782,138,Multi-Family,344,682,1368,27,2,Humboldt Park,23679,34.2,Hispanic or Latino,Chicago
309000,2025.422782,115,Multi-Family,66,683,1338,28,7,Humboldt Park,23679,34.2,Hispanic or Latino,Chicago
300000,2025.422782,113,Multi-Family,231,697,1250,27,2,Humboldt Park,23679,34.2,Hispanic or Latino,Chicago
260000,2025.422782,105,Multi-Family,338,532,1309,26,4,Humboldt Park,23679,34.2,Hispanic or Latino,Chicago
309000,2000,66,Single Family Residential,222,164,783,19,5,Humboldt Park,23679,34.2,Hispanic or Latino,Chicago
499999,2400,135,Single Family Residential,389,833,1685,33,4,Humboldt Park,23679,34.2,Hispanic or Latino,Chicago
390000,1445,0,Single Family Residential,303,427,1227,33,5,Humboldt Park,23679,34.2,Hispanic or Latino,Chicago
390000,1445,0,Single Family Residential,293,442,1246,34,5,Humboldt Park,23679,34.2,Hispanic or Latino,Chicago
390000,1445,0,Single Family Residential,469,414,1310,27,5,Humboldt Park,23679,34.2,Hispanic or Latino,Chicago
390000,1445,0,Single Family Residential,463,409,1303,26,5,Humboldt Park,23679,34.2,Hispanic or Latino,Chicago
149900,900,133,Single Family Residential,171,2434,3122,47,9,Humboldt Park,23679,34.2,Hispanic or Latino,Chicago
365000,2025.422782,118,Single Family Residential,597,1671,2876,43,10,Humboldt Park,23679,34.2,Hispanic or Latino,Chicago
600000,1825,69,Single Family Residential,329,1708,2373,30,14,Humboldt Park,23679,34.2,Hispanic or Latino,Chicago
559000,2025.422782,119,Multi-Family,410,1887,2541,30,12,Humboldt Park,23679,34.2,Hispanic or Latino,Chicago
115000,1200,98,Condo/Co-op,187,2409,2972,49,2,Humboldt Park,23679,34.2,Hispanic or Latino,Chicago
159900,1800,94,Condo/Co-op,187,2416,2975,49,2,Humboldt Park,23679,34.2,Hispanic or Latino,Chicago
195000,995,91,Condo/Co-op,483,2741,3439,51,3,Humboldt Park,23679,34.2,Hispanic or Latino,Chicago
195000,995,91,Condo/Co-op,483,2741,3439,51,3,Humboldt Park,23679,34.2,Hispanic or Latino,Chicago
195000,995,91,Condo/Co-op,483,2741,3439,51,3,Humboldt Park,23679,34.2,Hispanic or Latino,Chicago
195000,995,91,Condo/Co-op,483,2741,3439,51,3,Humboldt Park,23679,34.2,Hispanic or Latino,Chicago
195000,995,91,Condo/Co-op,483,2741,3439,51,3,Humboldt Park,23679,34.2,Hispanic or Latino,Chicago
195000,995,91,Condo/Co-op,483,2741,3439,51,3,Humboldt Park,23679,34.2,Hispanic or Latino,Chicago
259000,2025.422782,101,Multi-Family,242,2095,2696,45,1,Humboldt Park,23679,34.2,Hispanic or Latino,Chicago
425000,2876,121,Single Family Residential,383,2284,2797,45,2,Humboldt Park,23679,34.2,Hispanic or Latino,Chicago
174900,1200,92,Condo/Co-op,441,2009,2472,41,3,South Shore,18768,38.5,Black,Chicago
175000,1200,112,Condo/Co-op,441,2009,2472,41,3,South Shore,18768,38.5,Black,Chicago
249900,1400,111,Condo/Co-op,547,2277,2089,38,2,South Shore,18768,38.5,Black,Chicago
430000,2025.422782,17,Multi-Family,168,1409,2786,26,5,South Shore,18768,38.5,Black,Chicago
740999,2025.422782,113,Multi-Family,184,1776,2434,38,2,South Shore,18768,38.5,Black,Chicago
47500,878,53,Condo/Co-op,512,1903,5517,44,13,South Shore,18768,38.5,Black,Chicago
275000,2025.422782,111,Multi-Family,708,1850,5227,46,13,South Shore,18768,38.5,Black,Chicago
415000,2025.422782,110,Multi-Family,593,1993,5308,46,13,South Shore,18768,38.5,Black,Chicago
47500,878,53,Condo/Co-op,512,1903,5517,44,13,South Shore,18768,38.5,Black,Chicago
275000,2025.422782,111,Multi-Family,708,1850,5227,46,13,South Shore,18768,38.5,Black,Chicago
415000,2025.422782,110,Multi-Family,593,1993,5308,46,13,South Shore,18768,38.5,Black,Chicago
49900,2025.422782,26,Condo/Co-op,173,753,3894,37,4,South Shore,18768,38.5,Black,Chicago
89000,800,55,Condo/Co-op,48,773,4441,19,2,South Shore,18768,38.5,Black,Chicago
175000,2000,18,Condo/Co-op,177,751,4130,38,4,South Shore,18768,38.5,Black,Chicago
142000,793,55,Condo/Co-op,48,773,4441,19,2,South Shore,18768,38.5,Black,Chicago
140000,1000,68.46433862,Condo/Co-op,52,873,4478,25,3,South Shore,18768,38.5,Black,Chicago
189000,1100,43,Condo/Co-op,52,873,4478,25,3,South Shore,18768,38.5,Black,Chicago
114999,2025.422782,55,Condo/Co-op,48,773,4441,19,2,South Shore,18768,38.5,Black,Chicago
125000,1250,97,Condo/Co-op,54,1156,4569,32,11,South Shore,18768,38.5,Black,Chicago
79000,1000,109,Condo/Co-op,681,1529,4141,45,18,South Shore,18768,38.5,Black,Chicago
180000,2025.422782,68.46433862,Condo/Co-op,54,1156,4569,32,11,South Shore,18768,38.5,Black,Chicago
160000,1350,94,Condo/Co-op,54,1156,4569,32,11,South Shore,18768,38.5,Black,Chicago
194000,3000,96,Condo/Co-op,556,1369,3647,39,11,South Shore,18768,38.5,Black,Chicago
375000,2025.422782,105,Multi-Family,472,1606,3923,39,15,South Shore,18768,38.5,Black,Chicago
125000,1250,97,Condo/Co-op,54,1156,4569,32,11,South Shore,18768,38.5,Black,Chicago
79000,1000,109,Condo/Co-op,681,1529,4141,45,18,South Shore,18768,38.5,Black,Chicago
180000,2025.422782,68.46433862,Condo/Co-op,54,1156,4569,32,11,South Shore,18768,38.5,Black,Chicago
160000,1350,94,Condo/Co-op,54,1156,4569,32,11,South Shore,18768,38.5,Black,Chicago
194000,3000,96,Condo/Co-op,556,1369,3647,39,11,South Shore,18768,38.5,Black,Chicago
375000,2025.422782,105,Multi-Family,472,1606,3923,39,15,South Shore,18768,38.5,Black,Chicago
148900,1200,17,Condo/Co-op,362,1711,2787,49,6,South Shore,18768,38.5,Black,Chicago
259900,1600,16,Condo/Co-op,433,1858,2716,45,3,South Shore,18768,38.5,Black,Chicago
135000,1608,123,Single Family Residential,513,1466,2659,29,4,South Shore,18768,38.5,Black,Chicago
115000,1000,123,Condo/Co-op,526,1415,2715,33,4,South Shore,18768,38.5,Black,Chicago
135000,1608,123,Single Family Residential,513,1466,2659,29,4,South Shore,18768,38.5,Black,Chicago
115000,1000,123,Condo/Co-op,526,1415,2715,33,4,South Shore,18768,38.5,Black,Chicago
74900,2200,111,Single Family Residential,957,1558,5332,34,12,South Shore,18768,38.5,Black,Chicago
50000,1000,81,Townhouse,274,1072,4416,38,7,South Shore,18768,38.5,Black,Chicago
139900,1351,73,Single Family Residential,724,1510,4451,47,16,South Shore,18768,38.5,Black,Chicago
75000,1250,68.46433862,Condo/Co-op,927,1625,5292,40,13,South Shore,18768,38.5,Black,Chicago
85000,950,68.46433862,Condo/Co-op,592,1489,4274,44,14,South Shore,18768,38.5,Black,Chicago
215000,1285,98,Single Family Residential,1037,1514,5239,33,12,South Shore,18768,38.5,Black,Chicago
